character	initial	final	tone	roman	emc-entry
䀟	w	rj	2	wӑj	0
䀠	c	y	0	cỳ	2
䀡	ṭ	im	0	ṭìm	3
䀢	ṣ	on	2	ṣon	3
䀣	p	i	2	pi	2
䀤	m	rv	2	mӑv	0
䀦	k	u	1	kú	0
䀧	x	ug	1	xúg	0
䀨	kv	an	3	kvat	1
䀩	l	og	3	lok	2
䀪	h	og	0	hòg	0
䀫	k	am	3	kap	1
䀬	đ	yn	0	đỳn	2
䀭	k	oj	0	kòj	0
䀮	xv	og	0	xvòg	2
䀯	p	u	1	pú	0
䀰	k	ug	3	kuk	1
䀱	f	ug	0	fùg	0
䀲	m	ug	3	muk	0
䀳	l	an	3	lat	0
䀴	g	ig	1	gíg	2
䀵	ṣ	on	2	ṣon	1
䀶	l	ơg	2	lơg	1
䀷	k	im	3	kip	1
䀸	ṭx	rj	2	ṭxӑj	2
䀹	s	im	1	sím	1
䀹	s	im	3	sip	1
䀹	ŧ	im	3	ŧip	1
䀹	ŧ	am	3	ŧap	1
䀹	c	rm	3	cӑp	1
䀺	ṭx	rv	0	ṭxằv	0
䀻	px	ig	2	pxig	0
䀼	ṭx	rn	0	ṭxằn	1
䀽		in	0	ìn	1
䀾	t	u	1	tú	0
䀿	ṭx	rj	2	ṭxӑj	1
䁀	t	rj	2	tӑj	0
䁁	l	ơg	2	lơg	1
䁂	h	an	2	han	1
䁃	p	iv	0	pìv	0
䁄		ig	2	ig	0
䁅	m	ag	1	mág	2
䁆	q	im	3	qip	1
䁇	m	ig	3	mik	2
䁈	kx	rj	2	kxӑj	2
䁉	kx	rj	2	kxӑj	0
䁊	qv	an	3	qvat	2
䁋	x	im	3	xip	2
䁌	v	rn	3	vӑt	1
䁍	x	rm	3	xӑp	1
䁎	ḍ	ag	0	ḍàg	1
䁏	q	iv	1	qív	0
䁐	q	ig	0	qìg	0
䁑	j	og	0	jòg	0
䁒	ŧx	rm	3	ŧxӑp	1
䁓	ŧ	ug	0	ŧùg	3
䁔	x	yn	0	xỳn	3
䁕	m	rn	0	mằn	2
䁗	x	oj	1	xój	0
䁘		iv	1	ív	1
䁙	q	an	2	qan	1
䁚	ṣ	yn	1	ṣýn	0
䁛	kv	i	2	kvi	1
䁜	xv	og	1	xvóg	1
䁝	h	ig	0	hìg	3
䁞	ṣ	ag	1	ṣág	0
䁟	ḍ	a	0	ḍà	0
䁠	l	im	0	lìm	0
䁡	ṣ	im	1	ṣím	0
䁢	z	yn	0	zỳn	1
䁣	ẓ	yn	0	ẓỳn	0
䁤	ṭx	ag	3	ṭxak	2
䁥	qn	ig	3	qnik	0
䁦	ŧx	y	2	ŧxy	1
䁧	m	iv	0	mìv	0
䁨	xv	og	3	xvok	1
䁩	g	y	0	gỳ	1
䁪	ṭ	am	1	ṭám	0
䁫	v	rn	3	vӑt	0
䁬	đ	rg	0	đằg	1
䁭	p	iv	0	pìv	0
䁮	đ	im	0	đìm	2
䁯	x	rm	3	xӑp	0
䁰	x	og	1	xóg	0
䁱	kx	rv	0	kxằv	2
䁲	m	aj	0	màj	1
䁳	m	og	1	móg	1
䁴	ṭ	in	1	ṭín	2
䁵	p	in	1	pín	1
䁶	k	ig	3	kik	0
䁷	k	og	3	kok	2
䁸	n	og	0	nòg	1
䁹	b	rj	1	bắj	0
䁺	ṣ	ig	3	ṣik	1
䁻	ṣ	ơg	3	ṣơk	1
䁼	m	rg	3	mӑk	0
䁽	ql	am	3	qlap	1
䁾	m	in	3	mit	0
䁿	m	rg	3	mӑk	1
䂀	x	ej	0	xèj	0
䂁	ḍ	am	0	ḍàm	0
䂂	c	ơj	0	cờj	0
䂃	ŧ	iv	2	ŧiv	1
䂄	xv	og	3	xvok	1
䂅	x	an	0	xàn	0
䂆	kv	ig	3	kvik	0
䂇	n	ug	3	nuk	1
䂈	d	ug	0	dùg	1
䂉	h	rv	0	hằv	0
䂊		y	2	y	0
䂋	j	rv	1	jắv	0
䂌	ṭx	ug	0	ṭxùg	1
䂍	b	og	3	bok	0
䂎	ŧ	yn	1	ŧýn	3
䂏	t	iv	0	tìv	1
䂐	t	yn	3	tyt	2
䂑	ŧ	rj	0	ŧằj	1
䂒	kx	in	3	kxit	1
䂓	kxv	ej	0	kxvèj	0
䂔		ig	2	ig	0
䂕	qv	ej	2	qvej	1
䂖	ẓ	eg	3	ẓek	0
䂗	f	rn	3	fӑt	0
䂘	ṭx	aj	0	ṭxàj	0
䂙	t	ơj	0	tờj	0
䂚	h	av	0	hàv	1
䂛		y	0	ỳ	0
䂜	b	og	1	bóg	0
䂝	ṭ	ag	3	ṭak	0
䂞	ṭ	e	2	ṭe	0
䂟	k	a	0	kà	0
䂠	ṣ	ej	1	ṣéj	0
䂡	t	rj	1	tắj	0
䂢	t	ug	1	túg	0
䂣	ṭx	ej	0	ṭxèj	0
䂤	w	u	2	wu	0
䂥	m	rn	0	mằn	0
䂦	ṭ	rn	0	ṭằn	0
䂧	ṭx	rn	1	ṭxắn	0
䂨	ṭx	ig	3	ṭxik	0
䂩		in	2	in	0
䂪	x	av	0	xàv	1
䂫	x	ag	0	xàg	1
䂬	k	ug	1	kúg	2
䂭	x	av	0	xàv	1
䂮	l	ơg	3	lơk	1
䂯	kv	aj	2	kvaj	0
䂰	l	am	3	lap	0
䂱	j	oj	2	joj	0
䂲	f	an	3	fat	0
䂳	ŧx	o	1	ŧxó	2
䂴		in	0	ìn	0
䂶	k	im	3	kip	0
䂷	kv	aj	0	kvàj	0
䂸	kv	og	3	kvok	1
䂹	ṣ	ag	3	ṣak	2
䂺	qv	o	1	qvó	0
䂻	ḍ	ag	2	ḍag	1
䂼	n	in	3	nit	0
䂽	d	iv	2	div	1
䂾	l	oj	1	lój	0
䂿	d	am	3	dap	1
䃀	ŧx	uj	2	ŧxuj	1
䃁	q	a	0	qà	1
䃂	kv	rn	1	kvắn	1
䃃	m	og	1	móg	0
䃄	k	ig	0	kìg	0
䃆	c	ej	0	cèj	0
䃇	m	in	0	mìn	0
䃈	k	aj	0	kàj	0
䃉	m	rn	0	mằn	0
䃊	ŧ	y	1	ŧý	2
䃋		y	0	ỳ	0
䃌	ṭ	rn	0	ṭằn	0
䃍	ḍ	uj	2	ḍuj	1
䃎	ṭ	a	2	ṭa	0
䃏	ṣ	ig	0	ṣìg	0
䃐	d	rn	3	dӑt	0
䃑	p	an	0	pàn	0
䃒	h	rn	3	hӑt	1
䃓	k	rv	2	kӑv	1
䃔	h	ug	0	hùg	2
䃕	l	u	0	lù	1
䃖	q	u	1	qú	1
䃗	p	og	3	pok	1
䃘	x	rg	0	xằg	0
䃙	l	ug	3	luk	0
䃚	đ	ug	3	đuk	1
䃛	l	in	2	lin	1
䃜	q	ej	0	qèj	1
䃝	h	rn	3	hӑt	0
䃞	ẓ	ug	3	ẓuk	1
䃟	ṣ	an	2	ṣan	0
䃠	ẓ	yn	0	ẓỳn	0
䃡	ṭ	rm	0	ṭằm	0
䃢	qj	rm	0	qjằm	0
䃣	qv	ej	1	qvéj	0
䃤	s	ug	3	suk	2
䃥	ḍ	og	0	ḍòg	0
䃦	t	on	0	tòn	0
䃧	l	ug	0	lùg	1
䃨	c	ơg	0	cờg	0
䃩	n	av	0	nàv	0
䃪	d	an	0	dàn	0
䃫	t	am	1	tám	1
䃬	g	rj	1	gắj	1
䃭	k	om	1	kóm	1
䃮	d	an	3	dat	0
䃯	ql	ig	3	qlik	0
䃰	ṭx	an	3	ṭxat	0
䃱	ṭx	im	2	ṭxim	0
䃲	b	un	0	bùn	0
䃳	l	am	3	lap	1
䃴	ṭ	y	0	ṭỳ	1
䃵	n	iv	1	nív	1
䃶	v	aj	0	vàj	0
䃷		ig	0	ìg	0
䃸	ŧx	im	2	ŧxim	1
䃹	l	an	2	lan	0
䃺	m	o	0	mò	1
䃺	m	o	2	mo	1
䃻	p	a	2	pa	0
䃼	p	ug	3	puk	0
䃽	kv	i	1	kví	1
䃾	p	i	1	pí	3
䃿	f	u	0	fù	1
䄀	v	o	2	vo	0
䄁	j	rj	2	jӑj	0
䄂	l	rv	2	lӑv	0
䄃	qj	og	0	qjòg	1
䄄	qj	rn	0	qjằn	0
䄅	k	yn	2	kyn	0
䄆	h	un	3	hut	2
䄇	ḍ	ig	0	ḍìg	0
䄈	d	rv	2	dӑv	1
䄉	g	o	0	gò	1
䄊	ṭ	ej	2	ṭej	0
䄋	q	im	1	qím	0
䄌	ṭ	uj	2	ṭuj	1
䄍	ṭ	a	2	ṭa	1
䄎	kx	ej	1	kxéj	0
䄏	x	in	0	xìn	0
䄐	x	yn	2	xyn	0
䄑		un	3	ut	0
䄒	n	rm	1	nắm	0
䄓	hv	ag	0	hvàg	1
䄔	k	ơj	1	kớj	0
䄕	ẓ	e	1	ẓé	0
䄖		y	0	ỳ	0
䄗	q	yn	0	qỳn	0
䄘	b	ag	0	bàg	1
䄙	m	ig	0	mìg	0
䄚	đ	u	0	đù	1
䄛	l	ơj	0	lờj	0
䄜	l	ej	0	lèj	0
䄝	ṭx	og	0	ṭxòg	1
䄞	ṭ	rj	2	ṭӑj	0
䄟	ṭx	ơj	2	ṭxơj	0
䄠	ẓ	im	0	ẓìm	1
䄡	t	am	0	tàm	0
䄢	ṭ	aj	0	ṭàj	0
䄣	ẓ	ug	3	ẓuk	0
䄤	l	aj	2	laj	1
䄥	l	ig	0	lìg	0
䄦	l	iv	1	lív	0
䄧		ig	0	ìg	0
䄨		y	0	ỳ	0
䄩		ig	3	ik	1
䄪	tx	iv	1	txív	1
䄫	x	ej	1	xéj	0
䄬		i	0	ì	1
䄭	n	in	0	nìn	0
䄮	f	u	0	fù	1
䄯	k	in	1	kín	0
䄰	g	a	0	gà	0
䄱	f	og	0	fòg	1
䄲	ṇ	oj	2	ṇoj	1
䄳	ṣ	in	0	ṣìn	0
䄴		yn	3	yt	0
䄵	l	rj	0	lằj	0
䄶	b	rn	3	bӑt	2
䄷	ẓ	eg	3	ẓek	1
䄸	px	og	3	pxok	0
䄹	n	in	0	nìn	0
䄺	ḍ	ej	2	ḍej	0
䄻	d	u	0	dù	1
䄼	tx	im	1	txím	1
䄽	ṣ	in	0	ṣìn	0
䄾	j	ug	3	juk	0
䄿	j	rj	2	jӑj	1
䅀	l	in	3	lit	2
䅁	q	on	2	qon	1
䅂	h	og	3	hok	1
䅃	c	ug	0	cùg	2
䅄	l	rj	2	lӑj	0
䅅	kv	ej	0	kvèj	0
䅆	ṭ	ej	2	ṭej	0
䅇	ṣ	ug	3	ṣuk	0
䅈	q	yn	1	qýn	0
䅊	ḍ	a	0	ḍà	3
䅋	m	an	1	mán	0
䅌	k	yn	0	kỳn	1
䅍	d	ig	1	díg	0
䅎	j	rv	1	jắv	0
䅏	m	i	2	mi	1
䅐	k	in	1	kín	0
䅑	ṇ	oj	0	ṇòj	2
䅒	m	og	0	mòg	0
䅓	k	y	1	ký	1
䅔	ṭ	ej	0	ṭèj	0
䅕	k	ơj	0	kờj	0
䅖	q	rm	0	qằm	0
䅗	s	uj	2	suj	1
䅘	l	oj	0	lòj	1
䅙	m	ug	3	muk	0
䅚	x	yn	1	xýn	1
䅛	ṭx	ơg	0	ṭxờg	0
䅜	d	o	2	do	2
䅝	x	ug	0	xùg	1
䅞	n	rg	3	nӑk	0
䅠	d	rj	0	dằj	0
䅡	s	y	1	sý	1
䅢	ŧ	rv	2	ŧӑv	1
䅣	hv	og	0	hvòg	1
䅤	ṭx	rm	3	ṭxӑp	0
䅥	k	in	3	kit	2
䅦	m	av	0	màv	0
䅧	q	im	0	qìm	2
䅨	x	ơg	0	xờg	0
䅩	ṭ	i	1	ṭí	1
䅪	d	ơj	0	dờj	0
䅫	l	ơg	3	lơk	0
䅬	q	aj	2	qaj	1
䅭	b	og	0	bòg	1
䅮	ṭx	og	2	ṭxog	0
䅯	d	og	0	dòg	0
䅰	q	rn	1	qắn	0
䅱	g	rn	2	gӑn	0
䅲	c	i	0	cì	1
䅳	ḍ	o	0	ḍò	1
䅴	ṣ	og	3	ṣok	0
䅵	ṭ	ơg	3	ṭơk	2
䅶	n	rv	2	nӑv	0
䅷	d	u	0	dù	1
䅸	ṣ	rn	0	ṣằn	0
䅹	l	rv	0	lằv	1
䅺	p	iv	0	pìv	0
䅻	l	i	0	lì	1
䅼	m	an	0	màn	1
䅽	x	ig	0	xìg	0
䅾	ẓ	rm	0	ẓằm	2
䅿	v	a	0	và	0
䆀	m	uj	1	múj	3
䆁	k	u	0	kù	1
䆂	l	im	0	lìm	1
䆃	d	u	2	du	2
䆄	ṭ	in	1	ṭín	1
䆅	đ	i	0	đì	1
䆆	ṭx	u	2	ṭxu	0
䆇	w	ug	2	wug	0
䆈	ḍ	ej	2	ḍej	0
䆉	b	a	2	ba	0
䆊	z	uj	2	zuj	1
䆋	ṭx	rv	0	ṭxằv	0
䆌	kx	rj	0	kxằj	0
䆍	l	ug	0	lùg	1
䆎	ŧx	im	0	ŧxìm	1
䆏	w	rj	2	wӑj	2
䆐	kv	og	3	kvok	0
䆑	ḍ	ag	0	ḍàg	1
䆒	k	rv	2	kӑv	0
䆓	g	aj	2	gaj	0
䆔	ṭx	ug	0	ṭxùg	0
䆕	q	yn	3	qyt	1
䆖	v	rg	0	vằg	0
䆗	q	iv	1	qív	0
䆘	q	am	3	qap	1
䆙		iv	0	ìv	0
䆚	d	ug	0	dùg	1
䆛	ṭ	a	2	ṭa	0
䆜	j	rv	2	jӑv	0
䆝	x	yn	3	xyt	1
䆞	q	iv	1	qív	1
䆟	x	om	3	xop	1
䆠	v	an	2	van	0
䆡	ql	ag	0	qlàg	0
䆢	q	yn	3	qyt	1
䆣	ẓ	rn	0	ẓằn	0
䆤	ṭx	yn	0	ṭxỳn	0
䆥	ṭx	yn	0	ṭxỳn	0
䆦	ṣ	rm	0	ṣằm	0
䆧	qv	o	0	qvò	0
䆨	n	ig	0	nìg	1
䆩	m	ig	0	mìg	0
䆪	x	ug	0	xùg	0
䆫	ṭx	ơg	0	ṭxờg	1
䆬	v	rn	1	vắn	0
䆭	x	in	0	xìn	0
䆮	ṭ	rm	2	ṭӑm	0
䆯	ṭ	on	3	ṭot	0
䆰	q	y	0	qỳ	0
䆱	tx	am	0	txàm	2
䆲	kxv	ag	0	kxvàg	0
䆳	ẓ	ơj	2	ẓơj	0
䆴	kv	ej	0	kvèj	0
䆵	ḍ	ag	0	ḍàg	1
䆶	ṭ	rv	0	ṭằv	0
䆷	x	yn	3	xyt	1
䆸	ṭ	rg	0	ṭằg	1
䆹	ṭx	ug	0	ṭxùg	0
䆺	px	un	0	pxùn	0
䆻	kx	iv	2	kxiv	0
䆼	qv	o	0	qvò	0
䆽	c	y	0	cỳ	1
䆾	l	am	0	làm	2
䆿	g	rj	2	gӑj	1
䇀	j	ug	0	jùg	0
䇁	ṣ	ej	0	ṣèj	0
䇂	x	in	0	xìn	1
䇃	ḍ	ej	2	ḍej	0
䇄	x	rn	3	xӑt	0
䇅	w	rn	3	wӑt	0
䇆	ẓ	rm	3	ẓӑp	0
䇇	m	ag	0	màg	0
䇈	v	a	2	va	0
䇉	p	ag	3	pak	0
䇊	kv	og	1	kvóg	0
䇋	h	oj	2	hoj	0
䇌	ṭx	iv	2	ṭxiv	0
䇍	ṭx	ug	3	ṭxuk	0
䇎	ŧx	ơg	3	ŧxơk	1
䇏	t	uj	1	túj	1
䇐	l	i	2	li	3
䇑	b	a	2	ba	1
䇒	k	aj	2	kaj	0
䇓	ṣ	ơj	0	ṣờj	0
䇔	l	o	2	lo	1
䇕	ṣ	ơj	0	ṣờj	0
䇖	v	rn	1	vắn	0
䇗	ṭ	ug	0	ṭùg	1
䇘	h	u	2	hu	1
䇙	j	rn	1	jắn	0
䇚	px	og	3	pxok	0
䇛	ṭ	ej	1	ṭéj	0
䇜	x	im	1	xím	1
䇝	ŧ	im	0	ŧìm	1
䇞	k	om	0	kòm	2
䇟	k	in	2	kin	0
䇠	ḍ	y	1	ḍý	0
䇡	ḍ	y	1	ḍý	0
䇢	f	u	1	fú	0
䇣	n	im	3	nip	0
䇤	j	oj	2	joj	0
䇥	ṭ	ag	3	ṭak	0
䇦	qj	og	1	qjóg	1
䇧	ḍ	rj	2	ḍӑj	0
䇨	k	ug	2	kug	1
䇩	j	rj	2	jӑj	1
䇪	ṭx	ej	0	ṭxèj	0
䇫	k	i	0	kì	1
䇬	ṭ	y	0	ṭỳ	1
䇭	l	u	1	lú	0
䇮	ṇ	rm	2	ṇӑm	1
䇯	ṇ	ug	0	ṇùg	1
䇰	ṭ	ig	0	ṭìg	0
䇱	n	am	3	nap	0
䇳	ṭ	in	0	ṭìn	0
䇴	ṣ	rj	0	ṣằj	0
䇵	g	rn	0	gằn	0
䇶	k	og	3	kok	0
䇷	b	in	3	bit	1
䇸	ḍ	ig	0	ḍìg	1
䇹	kxv	rn	2	kxvӑn	1
䇹	kxv	rn	1	kxvắn	1
䇺	d	rv	2	dӑv	0
䇻	m	ej	1	méj	0
䇼	qj	rm	3	qjӑp	0
䇽	ṭ	rj	2	ṭӑj	1
䇽	ṭ	in	3	ṭit	1
䇾	g	in	0	gìn	1
䇿	ṭx	ug	3	ṭxuk	0
䈀	s	an	0	sàn	2
䈁	l	on	0	lòn	1
䈂	b	ig	0	bìg	1
䈃	ṭ	iv	1	ṭív	1
䈄	h	om	0	hòm	1
䈅	v	og	3	vok	0
䈅		yn	3	yt	0
䈅	v	ig	3	vik	0
䈆	d	aj	2	daj	0
䈇	ṭ	av	2	ṭav	1
䈈	w	i	0	wì	1
䈉	s	am	3	sap	2
䈊	l	ig	0	lìg	0
䈋	tx	am	3	txap	1
䈌	ṭx	ơj	0	ṭxờj	0
䈍	m	rg	0	mằg	0
䈎		im	3	ip	2
䈏	b	og	3	bok	1
䈐	kx	uj	1	kxúj	1
䈑	kv	a	1	kvá	1
䈒	n	am	1	nám	1
䈓	k	on	3	kot	1
䈔	k	a	0	kà	0
䈕	ẓ	i	0	ẓì	1
䈖	xv	o	0	xvò	1
䈗	s	o	1	só	1
䈘	ḍ	ej	0	ḍèj	0
䈙	ḍ	rv	2	ḍӑv	1
䈚	d	oj	2	doj	3
䈛	xv	aj	2	xvaj	2
䈜	ŧx	rm	2	ŧxӑm	1
䈝	s	y	0	sỳ	1
䈞	ṭ	ug	3	ṭuk	0
䈟	ṭ	in	3	ṭit	0
䈠	h	un	2	hun	1
䈡	ṭx	ug	0	ṭxùg	0
䈢	ṣ	oj	1	ṣój	0
䈣	ṭ	ig	2	ṭig	0
䈤	c	im	0	cìm	0
䈥	k	rn	0	kằn	1
䈦	ṭ	ug	0	ṭùg	0
䈧	v	ej	1	véj	0
䈨	h	an	2	han	0
䈩	k	im	2	kim	0
䈪	x	ig	3	xik	1
䈫	n	am	3	nap	0
䈬	b	u	0	bù	0
䈭	ṣ	rv	0	ṣằv	0
䈮	k	y	2	ky	1
䈯	ṭ	rn	0	ṭằn	0
䈰	ṣ	av	0	ṣàv	1
䈱	tx	u	0	txù	1
䈲	p	un	0	pùn	2
䈳	d	am	3	dap	1
䈴	x	im	2	xim	0
䈵	qj	ug	0	qjùg	2
䈶	j	ug	0	jùg	1
䈷	k	ag	3	kak	0
䈸	h	ug	3	huk	1
䈹	ṣ	u	1	ṣú	0
䈺	ṭ	ug	0	ṭùg	1
䈻	b	u	0	bù	1
䈼	m	in	3	mit	0
䈽	k	rn	0	kằn	0
䈾	ṣ	av	0	ṣàv	0
䈿	m	ig	3	mik	1
䉀	ṣ	y	2	ṣy	0
䉁	l	ig	0	lìg	1
䉂	l	uj	1	lúj	1
䉃	ŧ	ơg	1	ŧớg	1
䉄	l	ig	0	lìg	0
䉅	ṭ	rm	3	ṭӑp	0
䉆	n	iv	1	nív	0
䉇	ṭ	am	0	ṭàm	0
䉈	s	an	1	sán	2
䉉	k	u	0	kù	2
䉊	w	an	2	wan	0
䉋	m	i	2	mi	1
䉌	z	uj	2	zuj	1
䉍	k	an	1	kán	0
䉎	d	og	0	dòg	1
䉏	h	aj	1	háj	0
䉐	f	u	0	fù	0
䉑	m	u	0	mù	2
䉒	f	an	0	fàn	0
䉓	l	o	2	lo	0
䉔	ŧx	an	0	ŧxàn	1
䉕	ḍ	rg	0	ḍằg	0
䉖	l	ig	0	lìg	0
䉗	qj	rm	3	qjӑp	0
䉘	ṣ	ơg	2	ṣơg	0
䉙	v	rn	0	vằn	1
䉚	m	rg	0	mằg	1
䉛	qj	ug	3	qjuk	1
䉜	ḍ	ej	2	ḍej	0
䉝	g	rj	1	gắj	0
䉞	t	om	1	tóm	1
䉟	v	og	3	vok	0
䉠	m	i	0	mì	2
䉡	d	an	0	dàn	0
䉢	ṣ	ig	3	ṣik	1
䉣	s	e	2	se	1
䉥	ṣ	ug	0	ṣùg	0
䉦	ŧx	in	0	ŧxìn	1
䉧	l	rv	0	lằv	2
䉨	g	rj	2	gӑj	1
䉩	q	rv	0	qằv	0
䉪	l	ơj	2	lơj	0
䉫	l	rj	0	lằj	0
䉬	f	rj	2	fӑj	1
䉭	l	im	3	lip	1
䉮	l	on	2	lon	1
䉯	h	an	2	han	0
䉰	h	av	2	hav	3
䉱	q	rv	0	qằv	0
䉲	n	ej	0	nèj	0
䉳	s	in	0	sìn	2
䉴	ṇ	og	0	ṇòg	1
䉵	ḍ	an	2	ḍan	0
䉵	ṭ	an	2	ṭan	0
䉶	ṣ	ơg	0	ṣờg	1
䉷	g	im	0	gìm	1
䉸	b	in	2	bin	0
䉹	l	ig	0	lìg	1
䉺	h	ug	0	hùg	1
䉺	x	og	1	xóg	1
䉻	c	i	0	cì	1
䉼	l	iv	2	liv	0
䉽	p	un	1	pún	1
䉾	p	i	2	pi	1
䉿		u	0	ù	0
䊀	h	u	0	hù	1
䊁	ṣ	rn	0	ṣằn	0
䊂	ṭx	ag	3	ṭxak	0
䊃	b	uj	2	buj	0
䊄	c	ug	0	cùg	0
䊅	m	ig	0	mìg	0
䊆	c	rv	1	cắv	1
䊇	p	u	0	pù	0
䊈	m	uj	0	mùj	1
䊉	s	om	1	sóm	1
䊊	m	i	2	mi	1
䊋	ṭ	og	0	ṭòg	2
䊌	p	ej	2	pej	0
䊍	l	ej	0	lèj	0
䊎	x	yn	1	xýn	1
䊏	ṣ	rm	1	ṣắm	0
䊐	v	rn	0	vằn	0
䊑	x	ơg	1	xớg	0
䊒	ṭ	ig	0	ṭìg	0
䊓	ẓ	i	2	ẓi	2
䊔	q	ig	0	qìg	0
䊕	ṭ	in	0	ṭìn	0
䊖	n	am	1	nám	0
䊗	v	og	0	vòg	0
䊘	ṭ	rv	2	ṭӑv	0
䊙		in	0	ìn	0
䊚	t	ơj	0	tờj	0
䊛	ṣ	an	3	ṣat	0
䊜	d	yn	0	dỳn	0
䊝	s	in	3	sit	2
䊞	ḍ	ag	3	ḍak	1
䊟	m	un	0	mùn	1
䊠	x	i	2	xi	1
䊡	m	un	0	mùn	1
䊢	ṭ	ơg	0	ṭờg	0
䊣	v	og	0	vòg	0
䊤	d	am	0	dàm	2
䊥	ṣ	iv	2	ṣiv	0
䊦	q	in	3	qit	1
䊧	px	i	2	pxi	2
䊨	l	o	0	lò	0
䊩	w	an	0	wàn	0
䊪	l	rj	2	lӑj	0
䊫	ŧx	uj	1	ŧxúj	1
䊬	ṭx	a	1	ṭxá	1
䊭	d	u	2	du	1
䊮	d	ig	3	dik	1
䊯	kx	og	2	kxog	0
䊰	ḍ	y	0	ḍỳ	0
䊱	ṭx	im	0	ṭxìm	0
䊲	ṭx	an	2	ṭxan	0
䊳	m	i	0	mì	1
䊴	ṭx	im	2	ṭxim	0
䊵	c	rv	0	cằv	1
䊶	ḍh	rn	1	ḍhắn	0
䊷	ṭ	i	0	ṭì	1
䊸	q	y	0	qỳ	0
䊹	ṭx	in	0	ṭxìn	0
䊺		u	2	u	0
䊻	k	rm	0	kằm	0
䊼	ṭx	ej	1	ṭxéj	0
䊽	kv	aj	2	kvaj	0
䊾	m	ug	3	muk	0
䊿	f	u	0	fù	0
䋀	v	a	1	vá	0
䋁	k	rg	1	kắg	0
䋂	h	av	0	hàv	1
䋃	m	u	2	mu	1
䋄	m	og	1	móg	0
䋅	g	rv	0	gằv	0
䋆		u	2	u	0
䋇		ig	3	ik	0
䋈	n	ơj	0	nờj	1
䋉	h	yn	3	hyt	1
䋊	ṭ	ig	0	ṭìg	1
䋋	m	rn	0	mằn	0
䋌	k	ơg	1	kớg	0
䋍	q	o	0	qò	0
䋎	ḍ	an	2	ḍan	1
䋏	đ	og	3	đok	1
䋐		yn	3	yt	1
䋑	l	in	3	lit	0
䋒	ṣ	y	0	ṣỳ	0
䋓	ṭ	rv	2	ṭӑv	0
䋔	px	ej	0	pxèj	0
䋕	j	rm	2	jӑm	0
䋖		yn	3	yt	1
䋗	k	in	0	kìn	0
䋘	ḍ	ơj	2	ḍơj	0
䋙	ṇ	i	1	ṇí	1
䋚		ig	3	ik	0
䋛	m	rj	1	mắj	1
䋜	x	ig	2	xig	0
䋝	q	ig	0	qìg	0
䋞	m	og	1	móg	0
䋟	c	i	2	ci	1
䋠	p	u	1	pú	0
䋡	ṣ	y	0	ṣỳ	0
䋢	px	in	3	pxit	2
䋣	w	an	0	wàn	0
䋤	j	og	3	jok	1
䋥	l	ej	0	lèj	0
䋦	w	an	0	wàn	0
䋧	c	ơj	0	cờj	0
䋨	fx	u	1	fxú	1
䋩		ej	0	èj	0
䋪	q	o	0	qò	1
䋫	ṭ	rg	0	ṭằg	1
䋬	tx	im	0	txìm	0
䋭	j	ug	3	juk	1
䋮	k	rm	0	kằm	0
䋯	x	ig	2	xig	0
䋰	k	ug	3	kuk	1
䋱	l	ej	0	lèj	1
䋲	ẓ	ig	0	ẓìg	0
䋳	p	uj	2	puj	0
䋴	n	rv	2	nӑv	0
䋵	q	rj	2	qӑj	1
䋶	ṣ	ơj	0	ṣờj	0
䋷	m	rv	0	mằv	2
䋸	đ	on	0	đòn	1
䋹	f	ug	3	fuk	0
䋺	ṭx	rv	0	ṭxằv	0
䋻	n	rm	0	nằm	1
䋼	tx	ig	0	txìg	1
䋽	p	ug	1	púg	0
䋾	ṭ	a	1	ṭá	1
䋿	q	uj	0	qùj	1
䌀	f	o	0	fò	0
䌁	q	iv	0	qìv	0
䌂	q	rg	3	qӑk	0
䌃	ṣ	iv	0	ṣìv	0
䌄	k	rg	1	kắg	0
䌅	d	og	0	dòg	0
䌆	kv	ej	2	kvej	0
䌇	ṣ	og	3	ṣok	0
䌈	tx	am	3	txap	0
䌉	k	og	0	kòg	0
䌊	j	rv	0	jằv	0
䌋	t	am	3	tap	0
䌌	ŧx	im	3	ŧxip	1
䌌	ŧ	im	3	ŧip	1
䌌	ŧx	rm	3	ŧxӑp	1
䌍	k	rn	1	kắn	0
䌎	l	ơg	3	lơk	1
䌏	m	rn	3	mӑt	0
䌐	m	ig	3	mik	1
䌑	k	in	0	kìn	1
䌒	l	ug	3	luk	0
䌓	w	an	0	wàn	0
䌔	q	rv	0	qằv	0
䌕	m	ej	0	mèj	0
䌖	ŧx	rm	3	ŧxӑp	2
䌗	fx	u	1	fxú	1
䌘	p	in	3	pit	1
䌙	v	og	2	vog	0
䌚	ṣ	ug	3	ṣuk	0
䌛	j	rv	0	jằv	0
䌜	n	im	3	nip	1
䌝	k	rm	0	kằm	0
䌞	l	im	1	lím	1
䌟	b	ag	3	bak	1
䌠	k	am	0	kàm	4
䌡	tx	rj	1	txắj	0
䌢	l	ig	0	lìg	0
䌣	ṭ	yn	1	ṭýn	0
䌤	ṣ	ej	0	ṣèj	0
䌥	j	rn	1	jắn	1
䌦	d	u	2	du	2
䌧	ḍ	rv	0	ḍằv	0
䌨	ŧx	oj	2	ŧxoj	1
䌩	m	in	3	mit	0
䌪		im	1	ím	1
䌫	l	am	2	lam	0
